Wine Name,Place of Origin,Temperature of Preservation,Wine Age,Consumption
Finca Decero Malbec Agrelo Remolinos Vineyard+,Austria,19,78,48
San Felice Chianti Classico+,Hungary,15,235,196
Hanzell Pinot Noir Sonoma Valley+,Portugal,15,135,53
First Drop Shiraz Barossa Mother's Milk+,Italy,14,276,58
McBride Sisters Collection Sauvignon Blanc Marlborough+,Spain,17,164,191
Alma de Cattleya Sauvignon Blanc Sonoma County+,Portugal,18,226,77
Josep Maria Raventós i Blanc Brut Blanc de Blancs Vino Espumoso+,India,20,83,96
DeLille D2 Columbia Valley+,"Bordeaux, France",15,76,36
Boscarelli Vino Nobile di Montepulciano Riserva+,"Burgundy, France",12,156,52
Nalle Zinfandel Dry Creek Valley+,"Bordeaux, France",22,142,148
Soter Pinot Noir Willamette Valley Estates+,"Pomerol, France",18,259,43
Dr. H. Thanisch Müller-Burggraef Riesling Kabinett Mosel Bernkasteler Badstube+,"Napa Valley, California",23,248,85
Bucklin Ancient Field Blend Old Hill Ranch Sonoma Valley+,"Napa Valley, California",16,224,41
Hickinbotham Shiraz McLaren Vale Brooks Road+,"Central Coast, California",18,54,196
Jean-Louis Chave St.-Joseph+,"Sonoma Coast, California",19,278,51
Alloro Pinot Noir Chehalem Mountains+,"Santa Cruz Mountains, California",12,167,93
Horsepower Syrah Walla Walla Valley The Tribe Vineyard+,"Napa Valley, California",14,251,164
Produttori del Barbaresco Barbaresco Muncagota Riserva+,"Saint-Émilion, France",18,148,113
Bookwalter Cabernet Sauvignon Columbia Valley Readers+,"Sauternes, France",12,283,23
Ferraton Père & Fils Crozes-Hermitage La Matinière+,"Ribera del Duero, Spain",22,185,177
Familia Zuccardi Malbec Paraje Altamira Concreto+,"Bolgheri, Italy",14,62,165
Livio Felluga Pinot Grigio Collio+,"Veneto, Italy",15,36,93
Hermann J. Wiemer Riesling Seneca Lake HJW Vineyard+,"Piedmont, Italy",10,134,131
Domaine La Bouïssiere Gigondas+,"Tuscany, Italy",15,253,43
Bodegas Ego Jumilla Goru Verde+,"Barossa Valley, Australia",22,238,102
August Kesseler Riesling Kabinett Rheingau R+,"Barossa Valley, Australia",25,190,152
d'Angelo Aglianico del Vulture+,"Barossa Valley, Australia",11,18,14
Bodega Numanthia Toro Numanthia+,"Sauternes, France",20,48,69
Altocedro Malbec La Consulta Old Vine Reserve+,Austria,12,122,26
Prats & Symington Douro Chryseia+,Hungary,13,132,53
Bodegas Muga Rioja Prado Enea Gran Reserva+,Portugal,20,292,87
School House Pinot Noir Spring Mountain District+,Italy,21,126,61
Col d'Orcia Brunello di Montalcino+,Spain,21,229,76
A.A. Badenhorst Family Secateurs Riviera Swartland+,Portugal,23,145,99
Bodegas Resalte de Peñafiel Ribera del Duero de Restia Crianza Selected Harvest+,India,19,186,181
Suavia Garganega Soave Classico+,"Bordeaux, France",16,161,134
Two Hands Cabernet Sauvignon McLaren Vale Sexy Beast+,"Burgundy, France",11,195,23
Casas del Bosque Carmenère Cachapoal Valley Gran Reserva+,"Bordeaux, France",12,220,199
Damilano Barbera d'Asti+,"Pomerol, France",14,185,131
Yalumba Shiraz Barossa Samuel's Collection+,"Napa Valley, California",20,64,97
Masseria Li Veli Susumaniello Salento Askos+,"Napa Valley, California",23,109,82
Domaine Jaume Vinsobres Altitude 420+,"Central Coast, California",12,279,65
Joseph Drouhin Pouilly-Fuissé+,"Sonoma Coast, California",15,50,182
Quinta do Vesuvio Vintage Port+,"Santa Cruz Mountains, California",14,134,196
Château La Gaffelière St.-Emilion+,"Napa Valley, California",12,147,87
Etude Cabernet Sauvignon Napa Valley+,"Saint-Émilion, France",14,247,166
Luke Merlot Wahluke Slope+,"Sauternes, France",17,41,53
Avancia Godello Valdeorras Old Vines+,"Ribera del Duero, Spain",21,114,168
Domaine du Vieux Télégraphe Châteauneuf-du-Pape La Crau+,"Bolgheri, Italy",16,15,108
Intercept Chardonnay Monterey County Charles Woodson's Intercept+,"Veneto, Italy",21,92,74
Pecchenino Nebbiolo Langhe Botti+,"Piedmont, Italy",14,72,123
Bodegas Terras Gauda Rías Baixas O Rosal+,"Tuscany, Italy",24,300,131
El Molino Chardonnay Rutherford+,"Barossa Valley, Australia",20,72,100
Zisola Noto+,"Barossa Valley, Australia",20,70,30
Clos Cibonne Tibouren Côtes de Provence Rosé Cuvée Tradition+,"Barossa Valley, Australia",25,197,27
Fontanafredda Barolo Serralunga d'Alba+,"Sauternes, France",17,290,52
Dakota Shy Cabernet Sauvignon Napa Valley+,Austria,22,92,144
San Salvatore Falanghina Campania+,Hungary,21,112,120
Gérard Fiou Sancerre Terroir Silex+,Portugal,15,79,123
Astrolabe Sauvignon Blanc Awatere Valley+,Italy,14,39,65
Domaine Huet Vouvray Sec Le Haut-Lieu+,Spain,19,171,72
Mastroberardino Taurasi Radici+,Portugal,24,207,36
Raen Pinot Noir Sonoma Coast Royal St. Robert Cuvée+,India,23,247,197
Gaston Chiquet Brut Champagne Tradition+,"Bordeaux, France",10,296,66
Arista Pinot Noir Russian River Valley UV-Lucky Well Vineyard+,"Burgundy, France",17,223,37
Disznókő Furmint Tokaji Dry+,"Bordeaux, France",21,35,143
VHR Cabernet Sauvignon Oakville+,"Pomerol, France",23,110,93
Companion Wine Co. Sunny B Oliver's Vineyard Edna Valley+,"Napa Valley, California",18,261,85
Viña Almaviva Epu Puente Alto+,"Napa Valley, California",24,288,72
Calera Pinot Noir Mount Harlan Jensen Vineyard+,"Central Coast, California",20,59,58
Tzora Judean Hills White+,"Sonoma Coast, California",23,133,113
Rivers-Marie Pinot Noir Sonoma Coast Silver Eagle Vineyard+,"Santa Cruz Mountains, California",13,196,25
Alain Voge Cornas Les Vieilles Vignes+,"Napa Valley, California",22,204,36
Elvio Cogno Barolo Ravera Vigna Elena Riserva+,"Saint-Émilion, France",22,226,195
Domaine Laroche Chablis Les Fourchaumes Vieilles Vignes+,"Sauternes, France",17,154,67
Ferren Chardonnay Sonoma Coast,"Ribera del Duero, Spain",18,168,179
